,rank,RDM,RDM_avg,lower_bound,upper_bound,range,diff_m1_mc_median
198853,77.0,0.542140007019043,0.5449602603912354,0.4821860488752125,0.6035133597205657,0.12132731084535325,0.0001153818538002227
428284,107.0,0.5010445713996887,0.5444618066151937,0.5005879575031628,0.5854186302449256,0.08483067274176281,0.04192053029609666
367960,36.0,0.6435185670852661,0.5442829926808676,0.4679247093598392,0.6258728913379689,0.15794818197812965,0.09569986225708838
551179,47.0,0.6092028021812439,0.5439415772755941,0.507189091108331,0.582539685917923,0.07535059480959205,0.06391693145970001
652644,183.0,0.4225006997585296,0.5414862632751465,0.4858751704076697,0.5947865124521338,0.10891134204446407,0.11725645069693297
463959,160.0,0.4436568021774292,0.5411505301793417,0.46335639621037333,0.6235035350198008,0.1601471388094275,0.10063670108524425
481033,198.0,0.4081595540046692,0.5402454535166422,0.48600058887768205,0.5924816375428921,0.10648104866521002,0.13047151770235088
294623,141.0,0.4560825526714325,0.5394725799560547,0.491654484155625,0.5895906802090818,0.09793619605345677,0.08643077964993062
243848,46.0,0.6138160228729248,0.5387975374857584,0.48791713083215116,0.5874635811939465,0.09954645036179532,0.07756660065352894
235035,51.0,0.5813332200050354,0.5385944048563639,0.5174012105701279,0.5608059009900159,0.04340469041988804,0.04179827791308133
1808,43.0,0.6219626665115356,0.5377285877863566,0.48519630728867486,0.5903629435692206,0.10516663628054573,0.08805660684895156
123499,111.0,0.4968976378440857,0.5371209383010864,0.4833066341688503,0.587417814575544,0.1041111804066937,0.038459614216839855
124185,57.0,0.5721158385276794,0.5354870160420736,0.47892069085556993,0.5899758209774132,0.11105513012184326,0.039462300373039216
656134,75.0,0.5424169301986694,0.5346395969390869,0.5128098576074963,0.5557268597986247,0.04291700219112837,0.008168178489079247
293036,66.0,0.5533419251441956,0.5330401659011841,0.45668134399317556,0.6149014788438032,0.15822013485062764,0.01715764416279808
581177,206.0,0.3940392136573791,0.5322587490081787,0.4756675041215449,0.5861410153216621,0.11047351120011717,0.1367512308897893
143145,64.0,0.55901700258255,0.5321573813756307,0.4662961825859288,0.595344583681018,0.12904840109508914,0.029778837318691354
86136,50.0,0.581588089466095,0.5321041742960612,0.47807191185138853,0.5850351003725693,0.10696318852118081,0.05332753557957626
246814,79.0,0.5387304425239563,0.5318674246470133,0.4886063603281864,0.5724144496574503,0.08380808932926387,0.008551017816516016
455028,53.0,0.5762026309967041,0.5313416322072347,0.447612672240181,0.6204826454040031,0.17286997316382213,0.042614878173189874
406908,82.0,0.5371392369270325,0.5313037236531576,0.4870306012805732,0.5727532158909352,0.08572261461036201,0.007558545009677786
585071,204.0,0.4002018570899963,0.5312042236328125,0.47349269091249735,0.5858586122740832,0.11236592136158585,0.12888669169892114
294767,87.0,0.5264890193939209,0.5260680119196574,0.5193760356789441,0.5332366385753176,0.013860602896373475,0.00011342856966578552
196481,38.0,0.6414341926574707,0.5258394082387289,0.45846236920566463,0.593045460357849,0.13458309115218436,0.12013023226631558
651794,195.0,0.4118093848228454,0.5256407260894775,0.48014572207936973,0.5692993996409108,0.08915367756154108,0.1124999315808945
534015,89.0,0.5227413177490234,0.524250348409017,0.45752514308733006,0.5903954948734718,0.1328703517861417,0.006157596905273843
602282,186.0,0.4189223647117615,0.523454467455546,0.4638214754856548,0.5859446508347098,0.12212317534905504,0.10825949516694555
149192,62.0,0.5608121752738953,0.5223851203918457,0.4970060365252705,0.5489437761652973,0.05193773964002685,0.03735841338123835
327383,86.0,0.5267193913459778,0.5216063658396403,0.5142877492495421,0.5293716321045969,0.015083882855054798,0.0049250629632406895
283946,80.0,0.5383901596069336,0.5201497475306193,0.4775294367836484,0.561024742261583,0.08349530547793466,0.020182142938352854
152720,73.0,0.5449222326278687,0.5195864041646322,0.5019631826666238,0.5364481394983801,0.03448495683175634,0.02623665524677865
524553,154.0,0.4481326341629028,0.5186673800150553,0.4672085853118303,0.5670246359631416,0.09981605065131127,0.0681622091691721
455402,121.0,0.4836070239543915,0.5184144179026285,0.4981643091897353,0.5380410392315742,0.03987673004183889,0.034118892541327384
631829,161.0,0.4428242146968841,0.5183877150217692,0.4394141603207851,0.5987119221142726,0.15929776179348748,0.0813728843938138
