rank,RDM,RDM_avg,lower_bound,upper_bound,range,distance_rdm_wa_median,,,,,,,,
247,0.243527338,0.358353853,0.312220195,0.403877898,0.091657704,0.113769613,,,,,,,,
214,0.382761687,0.354726354,0.341407753,0.368100548,0.026692795,0.028663754,,,,,,,,
234,0.335046679,0.348475575,0.336380402,0.360667529,0.024287127,0.014278987,,,,,,,,
229,0.344113171,0.345089793,0.341906107,0.348434384,0.006528277,0.001109783,,,,,,,,
223,0.358460128,0.34070313,0.332807221,0.348905684,0.016098463,0.017494381,,,,,,,,
249,0.19228135,0.338682652,0.243654981,0.438033009,0.194378029,0.151386399,,,,,,,,
231,0.340121388,0.334956805,0.325741063,0.344782391,0.019041328,0.004909965,,,,,,,,
216,0.374854922,0.325928509,0.260165007,0.396399549,0.136234542,0.046922629,,,,,,,,
250,0.080583215,0.319385429,0.211664922,0.432888185,0.221223263,0.244651459,,,,,,,,
242,0.31073159,0.310132523,0.288925995,0.332902257,0.043976262,0.000387563,,,,,,,,
218,0.370773703,0.263191462,0.212618919,0.316216079,0.10359716,0.105319701,,,,,,,,
226,0.355268836,0.254869064,0.205981564,0.306362071,0.100380507,0.099218838,,,,,,,,
