,rank,RDM,RDM_avg,lower_bound,upper_bound,range,diff_m1_mc_median
61153,100.0,0.5764063000679016,0.6306142807006836,0.6031641126147551,0.6572445166659062,0.05408040405115111,0.053784880719320194
13366,35.0,0.6649528741836548,0.6294331947962443,0.6103875834759591,0.648279140465279,0.0378915569893199,0.03589835881188419
285555,45.0,0.6494088768959045,0.6264758904774984,0.6067027451307797,0.6464434972274647,0.03974075209668504,0.02340391633818495
155728,55.0,0.6374410390853882,0.6232032775878906,0.6001553237623792,0.646581642346783,0.046426318584403714,0.014496718174168421
77130,57.0,0.6357924342155457,0.6225248177846273,0.6026683963725843,0.6412374815618477,0.038569085189263386,0.013680489089103132
229680,105.0,0.56937175989151,0.621400793393453,0.5957045649705034,0.647535133399696,0.05183056842919265,0.05233812823745865
149282,54.0,0.6391161680221558,0.6196173826853434,0.578873461270128,0.6579494856620297,0.07907602439190176,0.020530958824070744
68816,23.0,0.6896449327468872,0.6195461750030518,0.5898113649899107,0.6493333384524645,0.059521973462553834,0.06913201046382655
217761,72.0,0.617217481136322,0.6191119352976481,0.5904312348907992,0.6486653412526762,0.05823410636187698,0.0013455249398190983
298388,30.0,0.6753407716751099,0.6164773305257162,0.5900509474513737,0.6421932703241162,0.052142322872742564,0.05916455473490623
167566,122.0,0.5468739867210388,0.6155858039855957,0.581973203052072,0.6502782585193149,0.06830505546724286,0.06874662927683739
106530,36.0,0.6635522842407227,0.6150833368301392,0.5882960914899628,0.6414072952552967,0.05311120376533396,0.04901200726497934
266900,130.0,0.5308330655097961,0.6127352714538574,0.5696177878663476,0.6542230881704041,0.08460530030405644,0.08135042920329716
156217,12.0,0.7178671360015869,0.611493190129598,0.5562503733400612,0.6662350295393454,0.10998465619928421,0.10736627701892998
105981,81.0,0.6045371890068054,0.611387570699056,0.586387247899991,0.634495896846806,0.04810864894681499,0.006171973622894011
253927,47.0,0.6473830938339233,0.6113746960957845,0.5870432673549343,0.6359608592061469,0.04891759185121258,0.034991410395262657
38415,96.0,0.5797869563102722,0.6091146469116211,0.5924096756108006,0.626344738220197,0.03393506260939638,0.029539117489755684
102735,49.0,0.6467155814170837,0.6055784225463867,0.5678578887980616,0.6416042636449916,0.07374637484692992,0.041431205391097015
